"subject","D","N","P","stai_score","MSS"
"obdodxw",9,7,11,55,27
"ow0dwd2",0,4,1,32,5
"oyxn1ev",0,0,0,20,0
"p68nez7",8,7,13,53,28
"p6f09lw",0,2,0,37,2
"p6z8v2e",1,1,0,34,2
"pm34chy",5,5,7,48.8888888888889,17
"py1qlb8",2,8,10,52.2222222222222,20
"q22x3t3",2,6,2,43,10
"q3mzvhp",2,1,1,36,4
"qeljkzb",3,6,9,48,18
"qkg6m6y",0,0,0,29,0
"quadb1b",3,4,1,72,8
"qx5v8df",7,9,12,50,28
"qzjvjx8",0,1,4,42,5
"r2sobm8",8,8,10,53,26
"rhp2ghg",0,0,0,21,0
"rvp0jbp",6,3,2,60,11
"rywlq5e",6,7,12,52,25
"s596wn3",10,5,9,51,24
"s9w9e92",10,8,11,53,29
"sdloo9j",0,4,0,52,4
"sygbs67",6,9,4,53,19
"t01fnjk",4,4,9,46.25,17
"t30ctu1",0,0,0,46.6666666666667,0
"t3cjg0z",0,3,3,34,6
"t5vkfjs",12,9,13,20,34
"t809271",2,2,0,65,4
"tcvjere",0,3,0,38,3
"tlvaxa7",1,5,3,55,9
"tmh8k1c",0,1,0,34,1
"u3mwdgw",2,0,1,34,3
"u6jok2p",0,6,0,29,6
"ucesl7g",3,5,4,46.6666666666667,12
"uhy4182",4,5,11,52,20
"uugddck",0,0,0,56,0
"uujs2a5",4,8,5,47,17
"vceoauv",8,2,4,60,14
"vcy4hba",5,4,4,40,13
"vejuokn",0,13,7,22,20
"vjl75t8",8,7,9,51,24
"vxfh2fz",3,5,10,33,18
"w8jhj10",1,2,0,35,3
"wfu1jqr",0,4,1,44,5
"wzzfcld",8,8,6,55,22
"x0jn37l",11,2,3,55.5555555555556,16
"xgdkseg",9,9,1,71,19
"xj9fs2c",9,13,1,63,23
"xnewk97",0,11,1,67,12
"xsl03k1",9,5,10,50,24
"xssuzz2",0,7,0,34,7
"y8j085p",0,11,0,41,11
"ynwkwkh",0,7,0,36,7
"yohvkkw",0,0,10,44,10
"yqyeznl",0,8,0,51,8
"yul0gtw",5,5,7,51,17
"yvw26zn",0,0,0,22,0
"yz8sl6z",4,7,7,48,18
"za1rjjl",2,2,5,37,9
"zaac3ty",0,1,0,71,1
"zo7tf1f",0,7,3,28,10
"zqcnx7x",0,0,0,21,0
